Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,mahalanobis,average,5183,0.32,90582.26,0.14,9.76
CC General,4,mahalanobis,complete,5437,0.3,143945.66,0.16,9.94
CC General,4,mahalanobis,single,4763,0.19,2962.85,0.14,7.0
COVID-19,4,mahalanobis,average,217,0.05,55440.49,0.02,0.07
COVID-19,4,mahalanobis,complete,217,0.05,55440.49,0.02,0.07
COVID-19,4,mahalanobis,single,217,0.05,55440.49,0.02,0.04
Credit Card,4,mahalanobis,average,479,0.27,77264.78,0.13,0.14
Credit Card,4,mahalanobis,complete,486,0.27,90894.58,0.14,0.17
Credit Card,4,mahalanobis,single,461,0.25,32010.04,0.13,0.12
Mall Customer,4,mahalanobis,average,140,0.34,90892.9,0.09,0.05
Mall Customer,4,mahalanobis,complete,146,0.31,135603.59,0.1,0.05
Mall Customer,4,mahalanobis,single,135,0.36,67111.31,0.09,0.04
Sales Transactions,4,mahalanobis,average,793,0.02,34802.48,0.03,0.2
Sales Transactions,4,mahalanobis,complete,793,0.02,34958.67,0.03,0.27
Sales Transactions,4,mahalanobis,single,788,0.02,20672.87,0.03,0.18
Wholesale,4,mahalanobis,average,423,0.05,43547.4,0.02,0.11
Wholesale,4,mahalanobis,complete,423,0.05,43547.4,0.02,0.12
Wholesale,4,mahalanobis,single,423,0.05,43547.4,0.02,0.09
