Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,cosine,average,320,0.35,2121.19,0.85,2.46
CC General,4,cosine,complete,545,0.32,2703.43,0.98,2.59
CC General,4,cosine,single,42,-0.52,0.33,2.27,1.63
COVID-19,4,cosine,average,64,0.42,231.05,0.45,0.01
COVID-19,4,cosine,complete,74,0.38,318.43,0.5,0.02
COVID-19,4,cosine,single,36,0.15,45.24,0.54,0.01
Credit Card,4,cosine,average,33,0.51,2165.15,0.56,0.02
Credit Card,4,cosine,complete,54,0.49,3210.58,0.67,0.02
Credit Card,4,cosine,single,10,0.54,761.13,0.45,0.01
Mall Customer,4,cosine,average,17,0.58,814.16,0.4,0.0
Mall Customer,4,cosine,complete,22,0.53,1240.12,0.46,0.0
Mall Customer,4,cosine,single,9,0.55,417.46,0.32,0.0
Sales Transactions,4,cosine,average,127,0.28,331.85,0.8,0.04
Sales Transactions,4,cosine,complete,191,0.27,372.9,0.84,0.05
Sales Transactions,4,cosine,single,13,-0.5,2.25,1.41,0.02
Wholesale,4,cosine,average,91,0.39,334.83,0.57,0.02
Wholesale,4,cosine,complete,109,0.35,423.39,0.61,0.02
Wholesale,4,cosine,single,34,-0.21,20.12,1.31,0.01
